activity_code,IP Frequency,User Agent Encoded,Activity Encoded,Timestamp,Hour,Day,Weekday,malicious
2,8,0,2,2025-03-23 14:08:26,14,23,6,0
5,8,0,5,2025-03-23 14:08:47,14,23,6,0
1,8,0,1,2025-03-23 14:08:59,14,23,6,0
3,8,0,3,2025-03-24 08:43:19,8,24,0,0
4,8,0,4,2025-03-24 08:56:42,8,24,0,0
6,8,0,6,2025-03-24 09:24:18,9,24,0,0
5,8,0,5,2025-03-24 09:24:34,9,24,0,0
0,8,0,0,2025-03-24 09:24:55,9,24,0,0
3,7,1,2,2025-03-24 10:14:37,15,23,6,1
4,5,1,1,2025-03-24 10:14:37,15,23,6,1
5,6,0,3,2025-03-24 10:14:37,15,23,6,1
